Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BODY,"-0,0011154","0,00028083","0,0052225",0,0,0,"0,60261","0,00075915","-1,0158E-06","4,3415E-05","0,00063536","7,6112E-07","0,00054611",0,0,0,0,0,0,package://XM_BDX/meshes/BODY.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/BODY.STL,,BODY-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
NECK,"-7,0777E-16","0,0017032","0,041",0,0,0,"0,023609","1,2186E-05","1,0127E-22","1,5141E-19","1,2547E-05","-3,9893E-20","1,6284E-06",0,0,0,0,0,0,package://XM_BDX/meshes/NECK.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/NECK.STL,,NECK-1,Origin_neck_pitch,Axis_neck_pitch,neck_pitch,fixed,"0,039","-0,0017032","0,06245",0,"-0,52482",0,BODY,0,0,0,,,,,,,,,,,,
HEAD,"-0,00038022","0,0020776","0,020306",0,0,0,"0,14113","0,00027193","6,735E-10","-1,8827E-05","0,00035492","-7,4182E-09","0,00058003",0,0,0,0,0,0,package://XM_BDX/meshes/HEAD.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/HEAD.STL,,HEAD-1,Origin_head_pitch,Axis_head_pitch,head_pitch,fixed,0,0,"0,082",0,"0,52804",0,NECK,0,0,0,,,,,,,,,,,,
HIP_LEFT,"0,00025469","0,048367","0,025254",0,0,0,"0,067673","2,5088E-05","9,3076E-17","-1,6017E-09","2,2446E-05","4,8484E-09","1,3103E-05",0,0,0,0,0,0,package://XM_BDX/meshes/HIP_LEFT.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/HIP_LEFT.STL,,HIP_LEFT-1,Origin_left_hip_yaw,Axis_left_hip_yaw,left_hip_yaw,revolute,0,"0,01425","-0,0436",0,0,0,BODY,0,0,1,41,"4,8171","-0,37899","0,37899",,,"1,084","0,03",,,"21,1",0
HIP_R_LEFT,"-4,4062E-15","-6,6752E-15","-0,025148",0,0,0,"0,035795","1,1792E-05","4,2627E-11","3,0644E-20","1,2444E-05","4,7248E-20","1,5652E-05",0,0,0,0,0,0,package://XM_BDX/meshes/HIP_R_LEFT.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://XM_BDX/meshes/HIP_R_LEFT.STL,,HIP_ROLL_RIGHT-4,Origin_left_hip_roll,Axis_left_hip_roll,left_hip_roll,revolute,0,"0,05925","0,01275",0,0,0,HIP_LEFT,-1,0,0,41,"4,8171","-0,38819","1,8827",,,"1,084","0,03",,,"21,1",0
THIGH_LEFT,"3,9517E-15","0,00036805","-0,03525",0,0,0,"0,093661","2,4146E-05","-1,2581E-19","-1,0488E-14","2,1407E-05","-6,6623E-20","1,4372E-05",0,0,0,0,0,0,package://XM_BDX/meshes/THIGH_LEFT.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/THIGH_LEFT.STL,,THIGH_LEFT-1,Origin_left_hip_pitch,Axis_left_hip_pitch,left_hip_pitch,revolute,0,0,"-0,05",0,0,0,HIP_R_LEFT,0,1,0,41,"4,8171","-1,7492","1,7492",,,"1,084","0,03",,,"21,1",0
CALF_LEFT,"-5,403E-12","0,00028426","-0,050148",0,0,0,"0,060634","1,5748E-05","-9,101E-17","-5,2438E-15","1,5054E-05","-1,6017E-09","7,9851E-06",0,0,0,0,0,0,package://XM_BDX/meshes/CALF_LEFT.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://XM_BDX/meshes/CALF_LEFT.STL,,CALF_LEFT-1,Origin_left_knee,Axis_left_knee,left_knee,revolute,0,0,"-0,0705",0,0,0,THIGH_LEFT,0,-1,0,41,"4,8171","-2,3829",0,,,"1,084","0,03",,,"21,1",0
FOOT_LEFT,"1,9908E-10","-1,8039E-10","-0,033335",0,0,0,"0,075115","1,6205E-05","-7,609E-12","6,3424E-14","7,4276E-05","8,2583E-13","7,4515E-05",0,0,0,0,0,0,package://XM_BDX/meshes/FOOT_LEFT.STL,"0,9098","0,44314","0,031373",1,0,0,0,0,0,0,package://XM_BDX/meshes/FOOT_LEFT.STL,,FOOT_RIGHT-1,Origin_left_ankle,Axis_left_ankle,left_ankle,revolute,0,0,"-0,07064",0,0,0,CALF_LEFT,0,1,0,41,"4,8171","-108,13","108,13",,,"1,084","0,03",,,"21,1",0
HIP_RIGHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://XM_BDX/meshes/HIP_RIGHT.STL,1,1,1,1,0,0,0,0,0,0,package://XM_BDX/meshes/HIP_RIGHT.STL,,HIP_RIGHT-1,Origin_right_hip_yaw,Axis_right_hip_yaw,right_hip_yaw,revolute,0,"-0,01425","-0,0436",0,0,0,BODY,0,0,1,41,"4,8171","-0,37899","0,37899",,,"1,084","0,03",,,"21,1",0
HIP_R_RIGHT,"-1,2143E-16","-6,8001E-16","-0,025148",0,0,0,"0,035795","1,1792E-05","4,2627E-11","5,5404E-20","1,2444E-05","-3,2551E-20","1,5652E-05",0,0,0,0,0,0,package://XM_BDX/meshes/HIP_R_RIGHT.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://XM_BDX/meshes/HIP_R_RIGHT.STL,,HIP_ROLL_RIGHT-2,Origin_right_hip_roll,Axis_right_hip_roll,right_hip_roll,revolute,0,"-0,05925","0,01275",0,0,0,HIP_RIGHT,1,0,0,41,"4,8171","-1,8827","0,38819",,,"1,084","0,03",,,"21,1",0
